,Reporter intensity corrected 2 01,Reporter intensity corrected 3 01,Reporter intensity corrected 4 01,Reporter intensity corrected 5 01,Reporter intensity corrected 6 01,Reporter intensity corrected 7 01,Reporter intensity corrected 8 01,Reporter intensity corrected 9 01,Reporter intensity corrected 10 01,Reporter intensity corrected 2 02,Reporter intensity corrected 3 02,Reporter intensity corrected 4 02,Reporter intensity corrected 5 02,Reporter intensity corrected 6 02,Reporter intensity corrected 7 02,Reporter intensity corrected 8 02,Reporter intensity corrected 9 02,Reporter intensity corrected 10 02,Reporter intensity corrected 2 03,Reporter intensity corrected 3 03,Reporter intensity corrected 4 03,Reporter intensity corrected 5 03,Reporter intensity corrected 6 03,Reporter intensity corrected 7 03,Reporter intensity corrected 8 03,Reporter intensity corrected 9 03,Reporter intensity corrected 10 03,Reporter intensity corrected 2 04,Reporter intensity corrected 3 04,Reporter intensity corrected 4 04,Reporter intensity corrected 5 04,Reporter intensity corrected 6 04,Reporter intensity corrected 7 04,Reporter intensity corrected 8 04,Reporter intensity corrected 9 04,Reporter intensity corrected 10 04,Reporter intensity corrected 2 05,Reporter intensity corrected 3 05,Reporter intensity corrected 4 05,Reporter intensity corrected 5 05,Reporter intensity corrected 6 05,Reporter intensity corrected 7 05,Reporter intensity corrected 8 05,Reporter intensity corrected 9 05,Reporter intensity corrected 10 05,Reporter intensity corrected 2 06,Reporter intensity corrected 3 06,Reporter intensity corrected 4 06,Reporter intensity corrected 5 06,Reporter intensity corrected 6 06,Reporter intensity corrected 7 06,Reporter intensity corrected 8 06,Reporter intensity corrected 9 06,Reporter intensity corrected 10 06,Reporter intensity corrected 2 07,Reporter intensity corrected 3 07,Reporter intensity corrected 4 07,Reporter intensity corrected 5 07,Reporter intensity corrected 6 07,Reporter intensity corrected 7 07,Reporter intensity corrected 8 07,Reporter intensity corrected 9 07,Reporter intensity corrected 10 07,Reporter intensity corrected 2 08,Reporter intensity corrected 3 08,Reporter intensity corrected 4 08,Reporter intensity corrected 5 08,Reporter intensity corrected 6 08,Reporter intensity corrected 7 08,Reporter intensity corrected 8 08,Reporter intensity corrected 9 08,Reporter intensity corrected 10 08,Reporter intensity corrected 2 09,Reporter intensity corrected 3 09,Reporter intensity corrected 4 09,Reporter intensity corrected 5 09,Reporter intensity corrected 6 09,Reporter intensity corrected 7 09,Reporter intensity corrected 8 09,Reporter intensity corrected 9 09,Reporter intensity corrected 10 09,Reporter intensity corrected 2 10,Reporter intensity corrected 3 10,Reporter intensity corrected 4 10,Reporter intensity corrected 5 10,Reporter intensity corrected 6 10,Reporter intensity corrected 7 10,Reporter intensity corrected 8 10,Reporter intensity corrected 9 10,Reporter intensity corrected 10 10,Reporter intensity corrected 2 11,Reporter intensity corrected 3 11,Reporter intensity corrected 4 11,Reporter intensity corrected 5 11,Reporter intensity corrected 6 11,Reporter intensity corrected 7 11,Reporter intensity corrected 8 11,Reporter intensity corrected 9 11,Reporter intensity corrected 10 11,Reporter intensity corrected 2 12,Reporter intensity corrected 3 12,Reporter intensity corrected 4 12,Reporter intensity corrected 5 12,Reporter intensity corrected 6 12,Reporter intensity corrected 7 12,Reporter intensity corrected 8 12,Reporter intensity corrected 9 12,Reporter intensity corrected 10 12,Reporter intensity corrected 2 13,Reporter intensity corrected 3 13,Reporter intensity corrected 4 13,Reporter intensity corrected 5 13,Reporter intensity corrected 6 13,Reporter intensity corrected 7 13,Reporter intensity corrected 8 13,Reporter intensity corrected 9 13,Reporter intensity corrected 10 13,Reporter intensity corrected 2 14,Reporter intensity corrected 3 14,Reporter intensity corrected 4 14,Reporter intensity corrected 5 14,Reporter intensity corrected 6 14,Reporter intensity corrected 7 14,Reporter intensity corrected 8 14,Reporter intensity corrected 9 14,Reporter intensity corrected 10 14,Reporter intensity corrected 2 15,Reporter intensity corrected 3 15,Reporter intensity corrected 4 15,Reporter intensity corrected 5 15
Reporter intensity corrected 2 01,1.0,0.9905603714227275,0.9965414169886708,0.9968738429940688,0.9972963767213737,0.9942042842988135,0.9974098706873228,0.9961207906510178,0.9975999499203282,0.4728310385971638,0.4688942738793565,0.4696612788620498,0.4669957190587619,0.47030663002579237,0.47023798269797906,0.4685756604265409,0.4725643231032547,0.46998946316463697,0.42161167947351114,0.42627636675874986,0.424102709748196,0.4252873447544938,0.42379617803947056,0.42419681295248757,0.4174327421449752,0.4255747787947303,0.42308050908433625,0.49376269556495794,0.49495499274552957,0.4968590534670723,0.4953419962889026,0.4962180354108516,0.49161433492405965,0.49573439296091076,0.4951656890624927,0.4937293640250521,0.4131957694959936,0.4191957910463917,0.414511750149616,0.4146882778000519,0.41443392690251885,0.41690891504244815,0.4133110320957241,0.41270972240439185,0.4154826635481646,0.4053831053027656,0.402445799099465,0.4028814781470585,0.3999047447114083,0.40531776679364173,0.40175448087196153,0.3981944440996311,0.3992683053188983,0.39784146722001884,0.40098822496355563,0.4031870474551494,0.40137101555873583,0.4020581304436219,0.40078371606677377,0.4017529520145785,0.39980258422881626,0.39873068001176937,0.4007354476461114,0.4222695488087398,0.4228637867899149,0.42331322983159503,0.42315906702428685,0.421797683035118,0.42078184699302423,0.4208767703130703,0.4204527150969896,0.4226828173559682,0.41894984067400065,0.4051303562135735,0.41814559084954134,0.42061843116303504,0.41749099734332634,0.41981094515078393,0.41998347012483755,0.41769077620959494,0.4191666650508399,0.3980616035376667,0.3976242211873582,0.39904224375794217,0.3946485607287123,0.39624576732296113,0.3984832858452175,0.39334151087074654,0.3998388249763085,0.3990455869559013,0.39768742195761886,0.39827772357603475,0.39917615400160855,0.39859855997080784,0.39396187114147285,0.3931471674321237,0.3937082994295279,0.39730795535040236,0.3950328965488989,0.4043047864563142,0.4086895277306983,0.4045021230619205,0.40601617140065444,0.4038830234155659,0.4030848158142608,0.4016638267771441,0.3996213446416146,0.4026951508319599,0.36610604332020324,0.37076263255035924,0.36869299812444695,0.3698484473162931,0.3662479074629247,0.3666509910642805,0.3652319768941343,0.35875824347094,0.36941229506602874,0.3791460962710367,0.3846333742020483,0.3864447704341071,0.37972017409385367,0.3774156904923955,0.38469788260110066,0.3811127481167304,0.386272454146237,0.3841428425459902,0.40015340074046596,0.4076061888436843,0.4062447824688445,0.4074192362769948
Reporter intensity corrected 3 01,0.9905603714227275,1.0,0.9935564101812112,0.9932795430270409,0.990018623283929,0.9946223428676348,0.990219812697148,0.992816313569472,0.9901918664678027,0.47644558083068816,0.4681340536498914,0.473859252013144,0.46754482622597765,0.47074597424526465,0.47364707670342815,0.4688363008008435,0.4729515123245725,0.4698110058422295,0.4169297922873207,0.42715097905791766,0.42078016472817537,0.4258584592251346,0.42388933526819256,0.42236500811030236,0.4141973570962926,0.4233345223484603,0.41968327344434014,0.5000698626696748,0.4957653367200243,0.5010944378971675,0.4963534474798506,0.5007497064672908,0.4927377952078509,0.4972000167033738,0.49684369752742935,0.4946900069023604,0.41662976483099573,0.4256664498992162,0.4165578059920605,0.42124926069224405,0.41809690493129903,0.4226623502359634,0.4156536190859692,0.41534478856845525,0.4186813867233062,0.4049863616079637,0.3985372799811361,0.4033208656500519,0.3964007229205376,0.40464152148060956,0.39728238806757915,0.3946406945904345,0.39627315227186444,0.3938441947354104,0.4038371972753477,0.4079826506112698,0.4024078523955805,0.4077458408960425,0.40305345284163796,0.40609643212101576,0.402223772473705,0.4005528378639075,0.4022234538623969,0.4228779161506189,0.42882584927469103,0.42748762150554603,0.4263889096206357,0.42772787302656484,0.42266310409548835,0.42435074913571047,0.421380598143059,0.42523940012113637,0.4163905220218607,0.40757168209152034,0.4169455702634504,0.42214888483823637,0.41655371722869466,0.41862373240512596,0.41976852479813304,0.4156810500053905,0.4181485162320464,0.4017609725890253,0.4048821680878845,0.4053992805760121,0.3991014058933207,0.4018516507618622,0.403065264504139,0.3976745399566096,0.40239560351864323,0.4062271218059513,0.403458164402499,0.4044196885722102,0.4022735358255287,0.4051243041127421,0.39817269953079476,0.39670436349685734,0.3967565919725422,0.4005101205221368,0.39802530509407,0.39410292641491895,0.4021589993553139,0.3945631565502749,0.3949678620696574,0.3925883101723754,0.39245040677387505,0.39094235027594376,0.3909413461523792,0.3923863851739755,0.3659982815617312,0.3737999058424439,0.3698816609638533,0.37102900852367166,0.365579749943686,0.3661136159548859,0.3651577195967325,0.35811383300898897,0.3683635342594156,0.37641469574859676,0.3858717113689097,0.38520838961231435,0.37619299573352205,0.3737172397734935,0.3822409682683806,0.3784471749595463,0.38479037551456946,0.3809656482484381,0.4016693222613542,0.4095519024657031,0.40904300089970336,0.4073057752444194
Reporter intensity corrected 4 01,0.9965414169886708,0.9935564101812112,1.0,0.9966453231354183,0.995476262402264,0.9961310241107777,0.9955174346940648,0.996853327826293,0.9960250887450538,0.47551833389054776,0.4684149958276345,0.472618644867764,0.4675368798095692,0.47081860034722917,0.4728341535885622,0.46880067310937446,0.47314047163164774,0.4701039908256009,0.41896963563039347,0.42657060865071916,0.42232397350207773,0.425655432034831,0.42418690781361573,0.42339192450065877,0.4155813758384497,0.42404796856668664,0.42113642307467813,0.49756123239384215,0.4957976848698041,0.5001637796861453,0.4962357475989786,0.499672861174086,0.49246892232202133,0.49688818004755375,0.49678320925162084,0.4944430195857321,0.4166941121420257,0.42403892025183326,0.41630102089898413,0.4197292436821693,0.417267482738045,0.421302633853796,0.4154872587976381,0.4151237503510944,0.4183676773160531,0.40733594505886,0.4018612873391154,0.40488901034214414,0.3995179125031533,0.40673113455701615,0.4008715820797221,0.3978658650064346,0.3996712761580423,0.39746416957521324,0.4034381639450037,0.40686331772335094,0.4025296840936247,0.40527131243789133,0.4026365923119824,0.40509676093446856,0.4017210810577144,0.4005697728990108,0.402248596963708,0.42234508063013815,0.4261046310171927,0.425921257132251,0.4250656345451252,0.4250078028935461,0.4219121798007611,0.42277402052406365,0.4207456404023703,0.4241580831448684,0.4176800376854763,0.4065374293374809,0.41752315682607677,0.42220788029998496,0.41737665177027156,0.4197167592861896,0.41980771878889855,0.41717270705356896,0.4190734615761743,0.4017306308978323,0.4039147258598871,0.4046713589165612,0.3992776993180621,0.4014590035839906,0.4028446187542369,0.39790996056352307,0.4029429612298444,0.40549661947948745,0.40221286957519026,0.4029574861541271,0.40146343451037836,0.4036202911296974,0.39705877939952083,0.39585268944430224,0.3961009177711585,0.40028582149769903,0.3975124285753947,0.3989179063249145,0.40490221137746135,0.3991536905406957,0.40003277358062017,0.39780102517164617,0.39696303438666547,0.39580549328964265,0.3943908019294231,0.39700943651596743,0.36590932606642906,0.3729881248127138,0.3690823484033374,0.37047195383352355,0.36592391607298513,0.3660021150033279,0.3653939380307265,0.3585792631952771,0.3686745666512478,0.377367919148175,0.383685614365167,0.38511332117553704,0.3770656921163021,0.37458022217128734,0.38304747038180503,0.3794660151265299,0.38365664683300243,0.3818516998761,0.40085073029708346,0.4084437375186617,0.40742747083437353,0.4073927354660101
Reporter intensity corrected 5 01,0.9968738429940688,0.9932795430270409,0.9966453231354183,1.0,0.9966607734291835,0.9960665018577171,0.9975990344810101,0.9976098206137508,0.9971940944887507,0.4730887497438457,0.4675306455129311,0.47018661418187685,0.4667952335023546,0.4695892712537176,0.47045844255714603,0.468033678677097,0.4717936491277432,0.46922821237418066,0.41774981993771243,0.4241442526711913,0.4210705192018928,0.4235305100979033,0.42190051547628804,0.42176807681001477,0.4142602958750607,0.4226871523399751,0.41980107607298306,0.4962229275313511,0.4951453304443298,0.4988233034452249,0.4959517368967259,0.4981212518482676,0.4922729162292505,0.4970009183343401,0.4956331613795563,0.49420531995252676,0.41640906160930213,0.4227830903206298,0.4166253127818587,0.4183006826987783,0.4170376442353224,0.42026631678285614,0.41550207852896764,0.4155346502185379,0.4183855700716307,0.4058087805241996,0.40131607305114086,0.4035437162021574,0.39946996600913104,0.4054651543277406,0.40023817129685135,0.397596485472566,0.3991041927670492,0.39678478996438626,0.400620077743025,0.403485889580162,0.4000532546996793,0.4025920334345476,0.4007357868549838,0.40162037333122164,0.3992678248603123,0.3978949527309864,0.4000466483896505,0.4223560254860882,0.42494958498029134,0.42490915805823987,0.424466583026826,0.4234407364206798,0.4218482367602349,0.4218377288550737,0.4208751846409872,0.42372660388975003,0.4185270424213206,0.4052462419546746,0.41812715461707384,0.42166223042053064,0.4178074725767282,0.41983910190717366,0.42051775185237883,0.41713193611221716,0.4195423598972824,0.3995286465933221,0.4004971752092563,0.4013299638178669,0.39692930361588535,0.3986265314752265,0.40018801441610485,0.3952696798949048,0.4005672721558279,0.401866247631202,0.39969215861522395,0.4006644379698781,0.40001059590180327,0.4007972373678507,0.39596894136772254,0.3941660284801988,0.39468870546154955,0.39854413119990295,0.3966334047149281,0.399627485728407,0.4049015884387018,0.39958317596510123,0.4005688983135434,0.3984276774411248,0.3978996466659574,0.3965871164534413,0.39536667890943716,0.3978937076424131,0.3665153721964499,0.37298287674380987,0.3697485336964202,0.37131466713240713,0.3669665600017968,0.366985316841478,0.36609050709701263,0.35958367282135195,0.3696722809970626,0.376962512559933,0.38321954733681507,0.38463046719525157,0.37686559696118505,0.37484744673240245,0.382360779323305,0.37900384162650885,0.38413369265321196,0.38136578327135806,0.3982042825539017,0.40645637597054063,0.4053012466956732,0.4051237066220299
Reporter intensity corrected 6 01,0.9972963767213737,0.990018623283929,0.995476262402264,0.9966607734291835,1.0,0.993228959543699,0.9972787522324018,0.9958880589995459,0.9968150379745299,0.46993574513893566,0.4655685808523606,0.4664853413132979,0.46459534975079436,0.46688604301979447,0.46717016047947946,0.4654977123224496,0.469345048148611,0.4670094138634431,0.4192867579315189,0.4242527900399275,0.422377145938635,0.42318425301194,0.42158754246721414,0.4219959380137563,0.415723666155977,0.4231182219294746,0.4210096035775549,0.49220804804223156,0.49276109370382465,0.4950551768252162,0.49359278235170256,0.4944740191270513,0.4903382417989535,0.49410499206822706,0.4930749525304184,0.49200352226702815,0.41532443902782046,0.420275614414815,0.4155889046981015,0.41571521990861277,0.41561521771346416,0.41797231038975174,0.4152244086442321,0.4138100275339975,0.41669268276219545,0.4037809759231467,0.4013232846925101,0.40151722660300504,0.39848080749250425,0.4038648032113066,0.4001295465729658,0.3966051159034452,0.39787743313084695,0.3960521203611205,0.3997631747167617,0.4019670859840587,0.40002321468573687,0.4007869394105839,0.39979273537342913,0.400461352490384,0.3982215367193411,0.39737082060635687,0.39943542467505494,0.41988334501029606,0.4206715008652149,0.4209528520114103,0.42078841236979336,0.4196037887967947,0.41883272958315115,0.41876871249526126,0.4177378041921734,0.42026373234244907,0.4189625893233985,0.4057312423833878,0.418115553906341,0.42080452587693906,0.41790696842687913,0.4203127958655856,0.42048994557952907,0.41873740430475953,0.4202652936179902,0.40048432885027885,0.3997116272896312,0.40109165066594055,0.39666330156449026,0.3980574406750369,0.40102172187349244,0.39501864029801714,0.4014132877634751,0.4010079433299231,0.3971668279904092,0.3976791913099982,0.39902265140951265,0.3979857275478814,0.3936223604857292,0.39297421724929077,0.3932801509396545,0.39650550128831663,0.3944581121015655,0.4027841543665385,0.4065291742336111,0.4022631966338913,0.4033950338514849,0.401373021520737,0.4004547881915069,0.39909353608562587,0.3973774303935558,0.40057054847942825,0.36779244840023867,0.37262487537561845,0.3704317498897454,0.37177511319829726,0.36807785281154565,0.36819627820323286,0.36870204789785094,0.3604494743192211,0.3712359892773415,0.37746931277430645,0.3824666129002789,0.3840213401100994,0.3777935074154969,0.37559203861359625,0.382345261302962,0.3794045707157427,0.3841994183478323,0.38281034821463533,0.3970932009287544,0.40427950945593116,0.40304442723170897,0.40335569510946395
Reporter intensity corrected 7 01,0.9942042842988135,0.9946223428676348,0.9961310241107777,0.9960665018577171,0.993228959543699,1.0,0.9938755656325665,0.9964611047760273,0.9941705332565814,0.47634087990888535,0.46849728922012734,0.473438422994718,0.4675911985318,0.47073467859025125,0.4731955004955598,0.46886011559924395,0.47328823930821234,0.4699596546425081,0.41860112693019375,0.4272519318091745,0.4219818964189661,0.42645484331007677,0.424940899677351,0.42425117090978726,0.41570430828872396,0.4242899838207176,0.42108681877395243,0.49961288104056967,0.4968829681458364,0.5020592425071869,0.49783214172062845,0.5015310223220867,0.49397048416741307,0.49814390649772755,0.4979634471408937,0.49578825009731975,0.41494036588728334,0.4235451015197093,0.4154991854395848,0.41938211229743316,0.41725950831359787,0.4218200210604595,0.4142582617037684,0.41393071243348617,0.4172890036451462,0.4076890827820888,0.40124467440749406,0.40500010261438973,0.3990019183689319,0.4075892934599216,0.40079043996971464,0.3972119922048643,0.3989314473470993,0.3965544061030226,0.4039481094004466,0.4079684504208047,0.4022575712045277,0.40757829368842885,0.40339478698984405,0.40644286684432424,0.40221494068043734,0.4005340288719873,0.40212834210360465,0.4232860539587725,0.42779185472006004,0.4277225972631067,0.4266349574888793,0.4269779662469643,0.4234700334649574,0.42376643284354937,0.4215967855464147,0.4255605738350878,0.4164937773922552,0.4077357906051949,0.41711521583997585,0.4220589717838417,0.41687431240379885,0.4193826434153791,0.4198000605526959,0.4160259238767803,0.41826799244196966,0.4020096033597554,0.40469860072236497,0.40560243755603226,0.3995262665133894,0.4019453692468824,0.4039971093942598,0.3983219849998635,0.4030090110783242,0.40640015987382194,0.4025950557178633,0.40357093049381804,0.40162445246336764,0.4040075078860622,0.39690910430638393,0.39588973496713453,0.39641071453117066,0.3998314387499115,0.39758091521156874,0.3962938223188415,0.40342621556331393,0.397105833815777,0.397623065886569,0.39538718238309273,0.3950424944978815,0.3933267177954993,0.39350544629854245,0.39498266964654827,0.36478170787831093,0.3721824614306752,0.36852216931854087,0.3696568698898896,0.36429539018948537,0.36531878155222663,0.3635020747251088,0.3565879572660912,0.3668804913403098,0.37419563876511786,0.38408209178776254,0.38330990414501664,0.37445120518492253,0.3723297699098028,0.3805160949627369,0.3762817513565233,0.38337019896923435,0.37896435681127627,0.4005332509022609,0.40855330246118104,0.4078795669029786,0.4062455642221093
Reporter intensity corrected 8 01,0.9974098706873228,0.990219812697148,0.9955174346940648,0.9975990344810101,0.9972787522324018,0.9938755656325665,1.0,0.9973167359131706,0.9980408002124213,0.47222144007938016,0.4683296535320329,0.46827342479276296,0.46785344235706844,0.4700263052600883,0.470055990396766,0.46866126124293633,0.47201752183295403,0.4702740039948246,0.41764078097418705,0.4224621662222687,0.4204928136655412,0.4216863522013511,0.42019412676239,0.4209415893654299,0.4140157917662912,0.42184446243596035,0.4196060607233744,0.49186067400223427,0.49236189901695876,0.4947152933089932,0.49292277391585787,0.49410167024951834,0.4894831157672501,0.4948193251240212,0.4925282418102975,0.4915703170838156,0.41563062687491725,0.4203976610205184,0.4161462134039144,0.41565719136286705,0.4158656834496481,0.41815716372925804,0.41508462113727446,0.41497686980343573,0.4178976407361453,0.4039798475625313,0.4013049698709446,0.4013875052106092,0.3995898782395717,0.4040914250148586,0.40037084047871774,0.39775422233537433,0.3986670498840815,0.3968443113689149,0.40094236973490566,0.4030214323503006,0.40123636382636124,0.40227050607080794,0.4020983873322891,0.4012874376235133,0.40000041955986637,0.39858474825743145,0.4013921867747868,0.42226434745401864,0.4225958695625249,0.4230031721089557,0.4229070884341718,0.42099596907100745,0.42139845050735986,0.4207602629825848,0.420799241597851,0.4226625596988879,0.4204500529933315,0.40344754666004284,0.4186973400278244,0.42117224648846513,0.4184557833488059,0.4206756671715982,0.4205185638155558,0.4184579359794947,0.42034154522644346,0.3975964574731158,0.3969188179882202,0.3981292998387902,0.3948971290909735,0.39573764155700963,0.3977075716452129,0.39294296758196845,0.39882865525327205,0.39830339907148704,0.3987235663594052,0.39943186518161744,0.4002029569254453,0.39926299919178104,0.3953802924282056,0.3941673615320141,0.39478326953427384,0.3993305547267793,0.397736366208054,0.4022759070992382,0.405925197121371,0.4016533278114276,0.4029123034023627,0.401104753955445,0.4001103253501133,0.3990430453498508,0.39746152550893316,0.4001013172259073,0.36628395744095243,0.37141014085399093,0.368898988753886,0.3707300933036056,0.3671366983457574,0.36704164033600845,0.36655276930978326,0.36026544194479426,0.3703435460946947,0.3785766419266596,0.3830870510921792,0.38500490519752156,0.37897769317506314,0.37630206912244724,0.3839773205972195,0.38075453787350155,0.3852650204253805,0.3832232588520309,0.3985782479603155,0.4059466957565612,0.404770662326695,0.4057380571988524
Reporter intensity corrected 9 01,0.9961207906510178,0.992816313569472,0.996853327826293,0.9976098206137508,0.9958880589995459,0.9964611047760273,0.9973167359131706,1.0,0.9964022058160363,0.47456848146701563,0.4677956107937174,0.47140881693728387,0.46778277397285883,0.47031604198363514,0.4722357350001688,0.46857442356345325,0.47262747647021286,0.4701275391852506,0.41690845266289195,0.42423305792454014,0.4203965400461282,0.4234562002789122,0.4218360581368494,0.4217327080147383,0.41377785713377896,0.4220569837489423,0.4192941231690345,0.4958943298357197,0.49374503983057244,0.4980086226716982,0.4944432294571257,0.497915782345835,0.49077807502032716,0.49608408026824397,0.49444814752673444,0.49278728947946987,0.4166672341822908,0.42317701767392685,0.41664335758433446,0.41890990623683205,0.41733294416599787,0.420809242927036,0.41614898460767247,0.4155935952650697,0.41918340923649355,0.40653257707757545,0.4016440869234645,0.40389997117745446,0.39997357355641094,0.4064509953354938,0.40084513759439167,0.39835730593925495,0.3997140081434175,0.3972775029146465,0.4037812470443159,0.4067496639463324,0.4028779288866693,0.4058117188080724,0.4037902257438858,0.4049939414697419,0.40228919379164924,0.40064505184284926,0.4031929260506064,0.4233559468097347,0.4261241621179253,0.42645802086330087,0.4257793792095004,0.42534624766012863,0.42341089288216,0.4235033895595681,0.4218720869742967,0.42520256759137876,0.4186251300248021,0.4062426950123709,0.4182008449924428,0.4229486164795751,0.41812832252980814,0.42035412352402013,0.42029131326300656,0.41781187319375407,0.419865877930844,0.3998228693358034,0.40138469350577305,0.4024161878244707,0.39737727612045615,0.39944929509085725,0.400795888496971,0.3955497243865129,0.40094515770469236,0.4028593067602411,0.4006176424896814,0.40143831001453656,0.4003711683551849,0.40161610856079766,0.39574007789243293,0.39444851755943455,0.39497565974097953,0.39929629613094897,0.39746294114064884,0.3994182329534732,0.40455664864069196,0.3992825521962151,0.3999383360533102,0.3978990715717861,0.3971207590262675,0.39591779551338635,0.39466806877118055,0.3971514656394353,0.36592046020127805,0.37272407314529443,0.3691766877247517,0.371015163872736,0.36631889468535783,0.36627744361946574,0.3661896976059954,0.3596164788138665,0.3695628047709648,0.37614281691261287,0.3830079516364809,0.38397494071289034,0.3767080689213316,0.3743055614038827,0.3817167611200532,0.37839635891356627,0.3833031871590982,0.38103320271109214,0.3995636718206869,0.40732741107720066,0.40638328257021655,0.40629087829878907
Reporter intensity corrected 10 01,0.9975999499203282,0.9901918664678027,0.9960250887450538,0.9971940944887507,0.9968150379745299,0.9941705332565814,0.9980408002124213,0.9964022058160363,1.0,0.47462987719795835,0.47071560686876485,0.4707300827279406,0.4694999994929628,0.472085120256801,0.4723659172907624,0.4703913860767565,0.4743375664948371,0.47194455416723047,0.41973437125917734,0.4245571404844794,0.4226464857846607,0.4239720569544844,0.42243651342541333,0.4230766738507408,0.41590225687688176,0.4239586549677753,0.42170913546454686,0.49506981768415664,0.49569194736188604,0.4979954322276149,0.4963831054393373,0.4972006860477234,0.4925085841914838,0.4972063310329419,0.4961995166447435,0.4946660871505562,0.4154232471736511,0.420655720444391,0.41630613949208467,0.4160703917374062,0.41622745933086375,0.4185384534902548,0.4149283835386388,0.4149153113386003,0.4174026408441243,0.40532852275303827,0.4024677302399452,0.4026954298470497,0.4001996878339057,0.4052859294788194,0.40152307517787716,0.39843256367692775,0.39963386338236373,0.39815215568576223,0.4020233450154355,0.40413499009623755,0.4022401069224687,0.40324510724482004,0.4021266785199906,0.40252338810804267,0.4008867194094005,0.39985235914038475,0.40181542883524984,0.42342137642545735,0.4240048197889331,0.4245378815622678,0.4243590420811226,0.42271154210351153,0.422106480082383,0.42213652303458143,0.42194617770490356,0.4239800867367447,0.4202322633232525,0.4046550724664338,0.41937699783937227,0.4218137322375019,0.4190693670156938,0.42080234505310676,0.4209338647276409,0.4187816811463157,0.4206824386774222,0.40054040991470985,0.3999376220164623,0.40122770175148986,0.3976698687959657,0.39858584002770314,0.40091951439331214,0.3962715508838783,0.40194481121111664,0.4014327622428314,0.39904220156336984,0.39968731224521886,0.4006382333057685,0.3998650405642863,0.3954100318241409,0.3943050461380816,0.39503068644880185,0.3993326541272093,0.3971213757226647,0.4042381919368527,0.40854148482693364,0.40442329754419004,0.4055184435317529,0.40389167532838327,0.4028656302682755,0.40163855810692844,0.40031814460104453,0.4028816439688537,0.3664397636027449,0.3712703742374475,0.3689785250262936,0.3703012206136852,0.36702912837264695,0.3666516211109934,0.3656098214009325,0.35930479585009445,0.3698196152102635,0.37996872069070525,0.3853500308633288,0.3870394967401575,0.38074719727236433,0.377929600728772,0.3858563071502176,0.381828988080574,0.3872086213469134,0.3847572915015607,0.4006593019985968,0.4079062332913775,0.40683945944109456,0.40766125479564486
Reporter intensity corrected 2 02,0.4728310385971638,0.47644558083068816,0.47551833389054776,0.4730887497438457,0.46993574513893566,0.47634087990888535,0.47222144007938016,0.47456848146701563,0.47462987719795835,1.0,0.9903959806961338,0.9870401917828622,0.9897954091934874,0.9932405959987688,0.9947554494431233,0.9920895116822429,0.9940604552938128,0.992379489217446,0.4155064187607476,0.4236118948105135,0.4171233841937059,0.42042741044928605,0.4199951883192424,0.41985288114625785,0.4125317496561975,0.4202100081465623,0.4171377637135675,0.47530275253672294,0.4746179790041853,0.47489849350249397,0.4720934428132052,0.47660358885867454,0.4698527238099789,0.4768627359311968,0.47374919587401443,0.4736529377501948,0.3881124755177517,0.3934197489477265,0.3911659059969155,0.38989961960123276,0.3908134165162339,0.39299182732659504,0.38684809291859396,0.3897936862712985,0.39254542463878184,0.3859384825486152,0.379838420041507,0.382877141964172,0.37864925332427446,0.38412807721595416,0.3803140114431279,0.37776744461513906,0.3796291839603628,0.37689791992351146,0.42521270917832665,0.42931995415152163,0.42395579527825533,0.4286968908020267,0.4271519338812015,0.4269845472068522,0.4271237510227013,0.4217185800482663,0.426287612787189,0.4120203240698489,0.4144123151177745,0.41432490189786,0.4144553722164745,0.4121733183167447,0.4140071382982968,0.41034624998650526,0.4104042044447305,0.41197044355656753,0.39766429264558484,0.39045790401606756,0.3973542978310833,0.40114235529174913,0.39684437557356816,0.40002387709551085,0.3967132278945616,0.39408492140639906,0.3969969886538774,0.3938266886139744,0.396424183315147,0.39480404883715897,0.3911672299664457,0.39401434547934994,0.39222569931526435,0.3909482916366985,0.39552897823667377,0.39685467948348596,0.38457692247545683,0.38341803309136563,0.3841440080144194,0.3851132693182212,0.3817525823378632,0.3793385976320115,0.38106450819806453,0.3853935236459973,0.3834884045500131,0.39366986676649995,0.3991569478921485,0.39550763109172943,0.39368236396252076,0.39344565012060967,0.39450755251931696,0.3923233743021248,0.3920589991693643,0.3929997211627499,0.37044921107357165,0.374117341577207,0.37345758628531783,0.3736370579868467,0.37511867847846037,0.36978267599844816,0.36890216883448534,0.36499604069561525,0.37887681183787425,0.37129633377829174,0.37985602691061104,0.37847063565907746,0.376618706031951,0.3729323227344648,0.3803957314464308,0.37423656667121236,0.38125212770783024,0.37734447947151784,0.3826760625539,0.38530826210838615,0.3842151317842784,0.3894673169766093
